package	hardware	backend	variant	dataset	n_voxels	n_timepoints	kind	n_iter	seed	wall_seconds	internal_fit_seconds	job_id	hostname	timestamp
braincoder	cpu32	tensorflow	grid	largegrid	49000	200	synthetic	default	3	212	187.2	3193544	u24-cva0000-302	2026-05-19T10:56:53+02:00
braincoder	cpu32	tensorflow	grid	largegrid	49000	200	synthetic	default	3	446	425.81	3122935	u24-chaihm0-651	2026-05-18T14:24:01+02:00
braincoder	cpu32	tensorflow	hrf	largegrid	49000	200	synthetic	default	1	3304	3293.5	3193545	u24-chi0000-402	2026-05-19T11:48:23+02:00
braincoder	cpu32	tensorflow	hrf	largegrid	49000	200	synthetic	default	1	3858	3836.54	3122936	u24-chaihm0-651	2026-05-18T15:20:53+02:00
braincoder	cpu32	tensorflow	hrf	largegrid	49000	200	synthetic	default	2	5394	5382.03	3193546	u24-chiihm0-622	2026-05-19T12:23:13+02:00
braincoder	cpu32	tensorflow	hrf	largegrid	49000	200	synthetic	default	2	4149	4127.93	3122937	u24-chaihm0-651	2026-05-18T15:25:44+02:00
braincoder	cpu32	tensorflow	hrf	largegrid	49000	200	synthetic	default	3	5452	5442.01	3193547	u24-chiihm0-622	2026-05-19T12:24:11+02:00
braincoder	cpu32	tensorflow	hrf	largegrid	49000	200	synthetic	default	3	4011	3989.9	3122938	u24-chaihm0-651	2026-05-18T15:23:26+02:00
braincoder	cpu8	tensorflow	grid	largegrid	49000	200	synthetic	default	1	569	549.9	3122921	u24-cva0000-125	2026-05-18T14:26:03+02:00
braincoder	cpu8	tensorflow	grid	largegrid	49000	200	synthetic	default	2	569	549.82	3122922	u24-cva0000-125	2026-05-18T14:26:03+02:00
braincoder	cpu8	tensorflow	grid	largegrid	49000	200	synthetic	default	3	509	486.1	3122923	u24-cva0000-207	2026-05-18T14:25:05+02:00
braincoder	cpu8	tensorflow	hrf	largegrid	49000	200	synthetic	default	1	11241	11209.53	3122924	u24-cva0000-209	2026-05-18T17:23:59+02:00
braincoder	cpu8	tensorflow	hrf	largegrid	49000	200	synthetic	default	2	8285	8272.82	3122925	u24-cva0000-204	2026-05-18T16:34:39+02:00
braincoder	cpu8	tensorflow	hrf	largegrid	49000	200	synthetic	default	3	11129	11110.48	3122926	u24-cva0000-205	2026-05-18T17:22:03+02:00
braincoder	gpu	tensorflow	grid	largegrid	49000	200	synthetic	default	1	80	72.41	3193549	u24-chaihm0-652	2026-05-19T12:36:35+02:00
braincoder	gpu	tensorflow	grid	largegrid	49000	200	synthetic	default	2	78	71.23	3193550	u24-chaihm0-652	2026-05-19T12:38:06+02:00
braincoder	gpu	tensorflow	grid	largegrid	49000	200	synthetic	default	3	230	216.75	3193551	u24-chaiam0-614	2026-05-19T12:41:39+02:00
braincoder	gpu	tensorflow	hrf	largegrid	49000	200	synthetic	default	1	140	131.83	3193552	u24-chaihm0-652	2026-05-19T12:40:39+02:00
braincoder	gpu	tensorflow	hrf	largegrid	49000	200	synthetic	default	2	314	302.07	3193553	u24-chaiam0-614	2026-05-19T12:46:09+02:00
braincoder	gpu	tensorflow	hrf	largegrid	49000	200	synthetic	default	3	139	131.62	3193554	u24-chaihm0-652	2026-05-19T12:43:14+02:00
braincoder	a100	tensorflow	grid	mediumgrid	4900	200	synthetic	default	1	40	29.05	3193536	u24-chaiam0-614	2026-05-19T12:32:51+02:00
braincoder	a100	tensorflow	grid	mediumgrid	4900	200	synthetic	default	2	40	28.67	3193537	u24-chaiam0-614	2026-05-19T12:33:52+02:00
braincoder	a100	tensorflow	grid	mediumgrid	4900	200	synthetic	default	3	37	25.21	3193538	u24-chaiam0-614	2026-05-19T12:34:51+02:00
braincoder	a100	tensorflow	hrf	mediumgrid	4900	200	synthetic	default	1	196	182.06	3193539	u24-chaiam0-614	2026-05-19T12:37:30+02:00
braincoder	a100	tensorflow	hrf	mediumgrid	4900	200	synthetic	default	2	132	120.91	3193540	u24-chaiam0-614	2026-05-19T12:37:27+02:00
braincoder	a100	tensorflow	hrf	mediumgrid	4900	200	synthetic	default	3	184	170.91	3193541	u24-chaiam0-614	2026-05-19T12:40:53+02:00
braincoder	cpu32	tensorflow	grid	mediumgrid	4900	200	synthetic	default	1	42	25.01	3193524	u24-chaihm0-651	2026-05-19T10:53:29+02:00
braincoder	cpu32	tensorflow	grid	mediumgrid	4900	200	synthetic	default	2	44	27.46	3193525	u24-chaihm0-651	2026-05-19T10:53:31+02:00
braincoder	cpu32	tensorflow	grid	mediumgrid	4900	200	synthetic	default	3	48	31.52	3193526	u24-chaihm0-651	2026-05-19T10:53:35+02:00
braincoder	cpu32	tensorflow	hrf	mediumgrid	4900	200	synthetic	default	1	393	376.41	3193527	u24-chaihm0-652	2026-05-19T10:59:21+02:00
braincoder	cpu32	tensorflow	hrf	mediumgrid	4900	200	synthetic	default	2	456	439.49	3193528	u24-chaihm0-652	2026-05-19T11:00:24+02:00
braincoder	cpu32	tensorflow	hrf	mediumgrid	4900	200	synthetic	default	3	498	482.09	3193529	u24-chaihm0-652	2026-05-19T11:01:06+02:00
braincoder	gpu	tensorflow	grid	mediumgrid	4900	200	synthetic	default	1	18	11.23	3193530	u24-chaihm0-652	2026-05-19T12:16:10+02:00
braincoder	gpu	tensorflow	grid	mediumgrid	4900	200	synthetic	default	2	42	30.39	3193531	u24-chaiam0-614	2026-05-19T12:27:10+02:00
braincoder	gpu	tensorflow	grid	mediumgrid	4900	200	synthetic	default	3	41	29.86	3193532	u24-chaiam0-614	2026-05-19T12:28:11+02:00
braincoder	gpu	tensorflow	hrf	mediumgrid	4900	200	synthetic	default	1	197	185.87	3193533	u24-chaiam0-614	2026-05-19T12:31:51+02:00
braincoder	gpu	tensorflow	hrf	mediumgrid	4900	200	synthetic	default	2	129	118.47	3193534	u24-chaiam0-614	2026-05-19T12:31:17+02:00
braincoder	gpu	tensorflow	hrf	mediumgrid	4900	200	synthetic	default	3	143	131.72	3193535	u24-chaiam0-614	2026-05-19T12:34:04+02:00
